Id,Country,Sampling date,Penicillin resistance,Macrolide resistance,Type
Pnc_174,South Africa,2008-06-28,Sensitive,Sensitive,A
Pnc_175,South Africa,2016-06-11,Resistant,Sensitive,B
Pnc_176,South Africa,2019-03-13,Sensitive,Sensitive,A
Pnc_177,South Africa,2019-06-01,Resistant,Sensitive,A
Pnc_178,South Africa,2002-11-08,Sensitive,Resistant,B
Pnc_179,USA,2010-03-20,Sensitive,Sensitive,B
Pnc_180,South Africa,2000-02-08,Sensitive,Sensitive,B
Pnc_181,South Africa,2009-02-25,Resistant,Sensitive,A
Pnc_182,USA,2004-01-03,Sensitive,Resistant,B
Pnc_183,USA,2011-04-07,Sensitive,Resistant,B
Pnc_184,South Africa,2019-08-31,Sensitive,Resistant,A
Pnc_185,South Africa,2007-08-13,Resistant,Sensitive,A
Pnc_186,South Africa,2018-11-27,Resistant,Resistant,B
Pnc_187,USA,2007-12-04,Sensitive,Resistant,A
Pnc_188,USA,2017-10-23,Resistant,Resistant,B
Pnc_189,USA,2014-02-23,Sensitive,Resistant,B
Pnc_190,South Africa,2005-04-18,Resistant,Sensitive,A
Pnc_191,USA,2012-02-07,Sensitive,Sensitive,B
Pnc_192,South Africa,2018-11-02,Resistant,Sensitive,B
Pnc_193,South Africa,2008-08-12,Sensitive,Sensitive,B
Pnc_194,South Africa,2010-05-02,Resistant,Sensitive,A
Pnc_195,South Africa,2019-09-17,Resistant,Sensitive,A
Pnc_196,USA,2018-02-17,Sensitive,Sensitive,A
Pnc_197,USA,2000-05-12,Resistant,Resistant,A
Pnc_198,South Africa,2013-04-15,Sensitive,Sensitive,A
Pnc_199,South Africa,2003-11-10,Resistant,Sensitive,A
Pnc_200,South Africa,2011-04-17,Sensitive,Sensitive,B
Pnc_201,USA,2001-12-06,Sensitive,Resistant,B
Pnc_202,USA,2004-07-22,Resistant,Resistant,A
Pnc_203,USA,2000-09-08,Sensitive,Resistant,A
Pnc_204,USA,2007-09-02,Sensitive,Sensitive,A
Pnc_205,USA,2015-08-09,Sensitive,Resistant,B
Pnc_206,South Africa,2014-11-03,Resistant,Sensitive,A
Pnc_207,USA,2017-12-12,Sensitive,Resistant,B
Pnc_208,South Africa,2005-04-27,Resistant,Sensitive,B
Pnc_209,South Africa,2011-07-20,Sensitive,Resistant,B
Pnc_210,South Africa,2011-06-06,Sensitive,Sensitive,B
Pnc_211,South Africa,2004-04-26,Sensitive,Sensitive,A
Pnc_212,South Africa,2017-04-17,Resistant,Sensitive,A
Pnc_213,South Africa,2011-12-05,Resistant,Sensitive,B
Pnc_214,USA,2000-06-23,Sensitive,Sensitive,A
Pnc_215,USA,2003-07-08,Sensitive,Resistant,A
Pnc_216,South Africa,2020-08-03,Sensitive,Sensitive,A
Pnc_217,South Africa,2009-10-09,Sensitive,Sensitive,A
Pnc_218,USA,2001-05-24,Sensitive,Resistant,B
Pnc_219,USA,2009-03-09,Sensitive,Resistant,B
Pnc_220,USA,2002-02-21,Sensitive,Resistant,B
Pnc_221,South Africa,2011-02-08,Sensitive,Resistant,B
Pnc_222,USA,2012-07-13,Sensitive,Sensitive,A
Pnc_223,South Africa,2018-07-23,Resistant,Sensitive,A
Pnc_224,USA,2005-05-26,Resistant,Sensitive,B
Pnc_225,South Africa,2017-02-19,Sensitive,Sensitive,B
Pnc_226,South Africa,2003-07-03,Sensitive,Sensitive,A
Pnc_227,USA,2001-03-05,Sensitive,Resistant,A
Pnc_228,USA,2020-04-02,Sensitive,Resistant,B
Pnc_229,USA,2018-09-23,Sensitive,Sensitive,B
Pnc_230,South Africa,2000-08-10,Resistant,Sensitive,A
Pnc_231,USA,2012-09-07,Sensitive,Sensitive,B
Pnc_232,South Africa,2008-02-24,Sensitive,Sensitive,A
Pnc_233,South Africa,2014-08-31,Resistant,Sensitive,B
Pnc_234,South Africa,2013-12-01,Resistant,Sensitive,B
Pnc_235,South Africa,2013-11-03,Sensitive,Sensitive,B
Pnc_236,South Africa,2015-03-11,Sensitive,Sensitive,A
Pnc_237,South Africa,2020-03-23,Sensitive,Sensitive,A
Pnc_238,USA,2010-04-07,Sensitive,Sensitive,B
Pnc_239,South Africa,2004-07-17,Resistant,Sensitive,B
Pnc_240,USA,2011-09-13,Sensitive,Resistant,B
Pnc_241,USA,2000-05-21,Sensitive,Sensitive,A
Pnc_242,South Africa,2005-08-06,Sensitive,Sensitive,A
Pnc_243,South Africa,2002-05-14,Sensitive,Sensitive,B
Pnc_244,USA,2014-05-24,Sensitive,Sensitive,B
Pnc_245,USA,2001-11-19,Sensitive,Sensitive,B
Pnc_246,South Africa,2011-09-12,Sensitive,Sensitive,A
Pnc_247,USA,2005-03-01,Sensitive,Resistant,B
Pnc_248,USA,2006-10-20,Sensitive,Sensitive,B
Pnc_249,South Africa,2018-08-16,Sensitive,Sensitive,B
Pnc_250,USA,2017-12-07,Sensitive,Resistant,B
Pnc_251,South Africa,2012-04-15,Sensitive,Resistant,A
Pnc_252,South Africa,2017-03-24,Resistant,Sensitive,B
Pnc_253,South Africa,2020-11-13,Sensitive,Sensitive,A
Pnc_254,USA,2016-05-03,Sensitive,Resistant,B
Pnc_255,South Africa,2002-08-15,Resistant,Sensitive,A
Pnc_256,USA,2001-01-11,Sensitive,Resistant,A
Pnc_257,USA,2001-11-07,Sensitive,Sensitive,A
Pnc_258,South Africa,2000-05-03,Sensitive,Sensitive,B
Pnc_259,South Africa,2007-05-23,Sensitive,Sensitive,B
Pnc_260,USA,2000-06-19,Sensitive,Resistant,B
Pnc_261,USA,2005-03-16,Sensitive,Resistant,B
Pnc_262,USA,2006-10-25,Resistant,Sensitive,A
Pnc_263,USA,2011-04-18,Sensitive,Sensitive,B
Pnc_264,USA,2003-05-23,Sensitive,Sensitive,A
Pnc_265,South Africa,2004-08-31,Sensitive,Sensitive,A
Pnc_266,USA,2003-04-27,Resistant,Sensitive,A
Pnc_267,USA,2003-08-23,Sensitive,Sensitive,A
Pnc_268,South Africa,2005-06-01,Sensitive,Sensitive,B
Pnc_269,USA,2004-01-15,Sensitive,Resistant,A
Pnc_270,South Africa,2006-04-16,Sensitive,Sensitive,A
Pnc_271,USA,2005-05-06,Sensitive,Resistant,B
Pnc_272,USA,2016-06-10,Sensitive,Sensitive,B
Pnc_273,South Africa,2008-04-07,Sensitive,Sensitive,A
Pnc_274,South Africa,2019-06-18,Sensitive,Sensitive,A
Pnc_275,South Africa,2013-06-14,Resistant,Sensitive,A
Pnc_276,South Africa,2009-04-18,Sensitive,Sensitive,B
Pnc_277,USA,2014-11-06,Resistant,Resistant,B
Pnc_278,South Africa,2006-01-18,Resistant,Sensitive,A
Pnc_279,South Africa,2014-08-14,Resistant,Sensitive,B
Pnc_280,USA,2011-12-20,Sensitive,Resistant,B
Pnc_281,South Africa,2006-06-02,Resistant,Resistant,A
Pnc_282,South Africa,2018-08-04,Sensitive,Resistant,A
Pnc_283,South Africa,2008-04-28,Resistant,Sensitive,A
Pnc_284,South Africa,2000-12-25,Resistant,Resistant,B
Pnc_285,USA,2017-06-08,Sensitive,Sensitive,B
Pnc_286,South Africa,2001-08-04,Sensitive,Resistant,B
Pnc_287,USA,2014-10-19,Sensitive,Sensitive,B
Pnc_288,USA,2018-01-11,Sensitive,Resistant,B
Pnc_289,USA,2000-07-15,Sensitive,Sensitive,B
Pnc_290,USA,2000-01-23,Sensitive,Sensitive,B
Pnc_291,USA,2007-02-27,Resistant,Sensitive,B
Pnc_292,South Africa,2016-12-30,Resistant,Sensitive,A
Pnc_293,USA,2016-10-04,Sensitive,Resistant,B
Pnc_294,USA,2017-08-13,Sensitive,Sensitive,B
Pnc_295,South Africa,2011-11-13,Sensitive,Sensitive,A
Pnc_296,South Africa,2006-03-12,Sensitive,Sensitive,B
Pnc_297,USA,2012-07-29,Sensitive,Resistant,B
Pnc_298,USA,2004-03-15,Sensitive,Sensitive,A
Pnc_299,South Africa,2011-06-03,Sensitive,Sensitive,B
Pnc_300,USA,2013-01-18,Sensitive,Sensitive,B
Pnc_301,USA,2005-02-19,Sensitive,Resistant,B
Pnc_302,South Africa,2014-07-08,Resistant,Sensitive,B
Pnc_303,South Africa,2001-02-22,Sensitive,Sensitive,B
Pnc_304,South Africa,2016-09-18,Resistant,Sensitive,B
Pnc_305,USA,2008-05-03,Sensitive,Sensitive,B
Pnc_306,USA,2002-07-22,Sensitive,Resistant,A
Pnc_307,South Africa,2008-10-24,Resistant,Resistant,B
Pnc_308,USA,2014-05-11,Sensitive,Resistant,B
Pnc_309,USA,2007-03-18,Sensitive,Resistant,B
Pnc_310,USA,2020-08-28,Sensitive,Sensitive,A
Pnc_311,South Africa,2006-09-04,Sensitive,Sensitive,A
Pnc_312,USA,2000-12-09,Sensitive,Sensitive,B
Pnc_313,USA,2007-01-09,Resistant,Sensitive,B
Pnc_314,South Africa,2010-11-09,Resistant,Sensitive,A
Pnc_315,USA,2004-04-20,Sensitive,Sensitive,A
Pnc_316,South Africa,2001-12-07,Sensitive,Sensitive,A
Pnc_317,South Africa,2016-12-12,Sensitive,Sensitive,B
Pnc_318,South Africa,2006-10-01,Resistant,Sensitive,B
Pnc_319,South Africa,2009-06-13,Sensitive,Resistant,A
Pnc_320,USA,2000-04-04,Sensitive,Sensitive,B
Pnc_321,South Africa,2013-09-11,Resistant,Sensitive,B
Pnc_322,USA,2009-01-31,Resistant,Sensitive,A
Pnc_323,USA,2016-09-16,Sensitive,Resistant,B
Pnc_324,South Africa,2015-04-22,Sensitive,Sensitive,B
Pnc_325,South Africa,2016-01-13,Resistant,Sensitive,A
Pnc_326,USA,2008-05-23,Sensitive,Resistant,B
Pnc_327,South Africa,2011-05-17,Resistant,Sensitive,B
Pnc_328,South Africa,2019-05-31,Resistant,Sensitive,A
Pnc_329,USA,2007-04-11,Sensitive,Sensitive,B
Pnc_330,USA,2002-03-27,Sensitive,Sensitive,B
Pnc_331,South Africa,2005-10-04,Resistant,Sensitive,B
Pnc_332,USA,2020-12-21,Sensitive,Sensitive,B
Pnc_333,USA,2000-05-16,Sensitive,Resistant,B
Pnc_334,South Africa,2018-04-13,Sensitive,Sensitive,A
Pnc_335,South Africa,2007-07-12,Sensitive,Sensitive,B
Pnc_336,South Africa,2019-07-13,Resistant,Sensitive,B
Pnc_337,USA,2007-05-17,Sensitive,Resistant,B
Pnc_338,South Africa,2019-08-01,Resistant,Sensitive,B
Pnc_339,South Africa,2007-12-24,Sensitive,Resistant,A
Pnc_340,USA,2018-08-10,Sensitive,Sensitive,B
Pnc_341,South Africa,2020-12-03,Sensitive,Sensitive,B
Pnc_342,South Africa,2013-06-16,Sensitive,Resistant,A
Pnc_343,USA,2005-05-02,Sensitive,Sensitive,A
Pnc_344,South Africa,2002-12-12,Sensitive,Resistant,B
Pnc_345,USA,2005-04-15,Sensitive,Resistant,A
Pnc_346,USA,2007-08-27,Sensitive,Resistant,B
Pnc_347,USA,2020-03-31,Sensitive,Resistant,B
Pnc_348,South Africa,2014-07-22,Sensitive,Sensitive,B
Pnc_349,South Africa,2020-01-26,Sensitive,Sensitive,B
Pnc_350,South Africa,2009-04-05,Resistant,Sensitive,A
Pnc_351,USA,2001-03-06,Sensitive,Sensitive,B
Pnc_352,South Africa,2003-02-26,Sensitive,Sensitive,B
Pnc_353,USA,2019-09-29,Resistant,Resistant,B
Pnc_354,South Africa,2011-10-10,Sensitive,Sensitive,A
Pnc_355,South Africa,2016-07-15,Resistant,Sensitive,A
Pnc_356,South Africa,2007-11-14,Resistant,Sensitive,B
Pnc_357,USA,2015-04-10,Sensitive,Sensitive,B
Pnc_358,South Africa,2019-10-30,Sensitive,Sensitive,B
Pnc_359,South Africa,2012-09-03,Sensitive,Sensitive,B
Pnc_360,South Africa,2002-10-03,Sensitive,Sensitive,A
Pnc_361,South Africa,2002-03-19,Resistant,Sensitive,B
Pnc_362,USA,2007-04-16,Sensitive,Sensitive,B
Pnc_363,South Africa,2014-11-21,Sensitive,Sensitive,B
Pnc_364,USA,2002-07-30,Sensitive,Resistant,B
Pnc_365,USA,2016-01-22,Sensitive,Resistant,B
Pnc_366,South Africa,2017-12-01,Sensitive,Resistant,B
Pnc_367,USA,2018-09-07,Sensitive,Resistant,B
Pnc_368,South Africa,2015-12-17,Sensitive,Sensitive,B
Pnc_369,South Africa,2001-04-18,Resistant,Sensitive,A
Pnc_370,South Africa,2017-12-04,Resistant,Resistant,B
Pnc_371,South Africa,2015-03-14,Sensitive,Resistant,A
Pnc_372,South Africa,2018-10-24,Sensitive,Sensitive,B
Pnc_373,South Africa,2013-01-05,Sensitive,Sensitive,A
Pnc_374,USA,2015-08-03,Sensitive,Resistant,B
Pnc_375,USA,2003-09-09,Sensitive,Resistant,B
Pnc_376,USA,2003-10-24,Sensitive,Resistant,A
Pnc_377,USA,2003-06-10,Sensitive,Sensitive,A
Pnc_378,USA,2012-12-26,Sensitive,Sensitive,B
Pnc_379,South Africa,2005-11-12,Sensitive,Sensitive,B
Pnc_380,USA,2015-02-21,Sensitive,Resistant,B
Pnc_381,South Africa,2005-02-04,Sensitive,Sensitive,A
Pnc_382,USA,2007-12-09,Sensitive,Sensitive,B
Pnc_383,USA,2002-07-19,Sensitive,Sensitive,B
Pnc_384,USA,2012-02-16,Sensitive,Resistant,B
Pnc_385,USA,2014-08-06,Sensitive,Sensitive,B
Pnc_386,South Africa,2014-10-24,Sensitive,Sensitive,B
Pnc_387,USA,2006-10-28,Sensitive,Resistant,A
Pnc_388,South Africa,2007-10-25,Sensitive,Sensitive,B
Pnc_389,South Africa,2008-08-31,Resistant,Sensitive,B
Pnc_390,USA,2008-10-25,Sensitive,Sensitive,A
Pnc_391,USA,2012-10-31,Sensitive,Sensitive,B
Pnc_392,USA,2006-10-23,Resistant,Sensitive,A
Pnc_393,USA,2008-10-03,Sensitive,Resistant,B
Pnc_394,South Africa,2013-10-27,Resistant,Sensitive,A
Pnc_395,South Africa,2020-02-24,Sensitive,Sensitive,A
Pnc_396,USA,2006-04-07,Sensitive,Resistant,A
Pnc_397,USA,2008-04-30,Sensitive,Sensitive,A
Pnc_398,South Africa,2002-12-04,Resistant,Sensitive,A
Pnc_399,USA,2002-08-07,Sensitive,Resistant,A
Pnc_400,USA,2009-09-25,Resistant,Sensitive,A
Pnc_401,South Africa,2016-02-03,Sensitive,Sensitive,A
Pnc_402,South Africa,2012-04-16,Sensitive,Sensitive,B
Pnc_403,South Africa,2014-02-21,Resistant,Sensitive,A
Pnc_404,USA,2009-06-29,Sensitive,Resistant,B
Pnc_405,South Africa,2020-12-14,Sensitive,Sensitive,A
Pnc_406,South Africa,2011-12-17,Resistant,Sensitive,A
Pnc_407,USA,2015-01-18,Sensitive,Resistant,B
Pnc_408,South Africa,2002-07-01,Resistant,Sensitive,B
Pnc_409,USA,2002-12-13,Sensitive,Resistant,A
Pnc_410,USA,2011-11-21,Sensitive,Resistant,B
Pnc_411,USA,2014-04-21,Sensitive,Resistant,B
Pnc_412,USA,2015-11-14,Sensitive,Resistant,B
Pnc_413,South Africa,2017-03-01,Resistant,Sensitive,B
Pnc_414,USA,2018-10-04,Sensitive,Sensitive,B
Pnc_415,USA,2012-09-15,Sensitive,Sensitive,B
Pnc_416,South Africa,2004-12-23,Sensitive,Sensitive,A
Pnc_417,South Africa,2004-07-25,Resistant,Sensitive,B
Pnc_418,South Africa,2019-10-24,Sensitive,Sensitive,A
Pnc_419,South Africa,2020-11-08,Sensitive,Sensitive,B
Pnc_420,South Africa,2013-09-13,Resistant,Resistant,A
Pnc_421,USA,2011-04-29,Sensitive,Sensitive,B
Pnc_422,USA,2000-05-09,Sensitive,Resistant,A
Pnc_423,South Africa,2016-11-14,Resistant,Sensitive,A
Pnc_424,USA,2018-04-19,Sensitive,Sensitive,B
Pnc_425,USA,2012-06-06,Sensitive,Sensitive,A
Pnc_426,USA,2015-10-13,Sensitive,Resistant,B
Pnc_427,South Africa,2005-09-15,Sensitive,Sensitive,B
Pnc_428,South Africa,2016-01-07,Sensitive,Sensitive,A
Pnc_429,South Africa,2006-04-09,Resistant,Sensitive,A
Pnc_430,South Africa,2019-02-02,Resistant,Resistant,B
Pnc_431,USA,2002-04-18,Sensitive,Sensitive,A
Pnc_432,USA,2018-11-05,Sensitive,Sensitive,B
Pnc_433,USA,2009-01-20,Sensitive,Sensitive,B
Pnc_434,South Africa,2001-04-14,Sensitive,Sensitive,B
Pnc_435,USA,2003-07-26,Sensitive,Resistant,A
Pnc_436,South Africa,2000-09-02,Sensitive,Sensitive,B
Pnc_437,South Africa,2010-10-18,Resistant,Sensitive,B
Pnc_438,South Africa,2001-06-05,Sensitive,Sensitive,A
Pnc_439,South Africa,2015-04-04,Sensitive,Sensitive,A
Pnc_440,USA,2013-09-02,Resistant,Sensitive,B
Pnc_441,South Africa,2004-06-04,Resistant,Sensitive,B
Pnc_442,South Africa,2002-09-21,Sensitive,Resistant,B
Pnc_443,South Africa,2012-01-18,Sensitive,Sensitive,A
